Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
1       1       0.00         0.00       1        0.00         0.00
2       1       8.80         4.40       1        8.80         4.40
3       1       17.60        8.80       1        17.60        8.80
4       1       26.40        13.20      1        26.40        13.20
5       1       35.20        17.60      1        35.20        17.60
6       1       44.00        22.00      1        44.00        22.00
7       1       52.80        26.40      1        52.80        26.40
8       1       61.60        30.80      1        61.60        30.80
9       1       70.40        35.20      1        70.40        35.20
10      1       79.20        39.60      1        79.20        39.60
11      1       88.00        44.00      1        88.00        44.00
12      1       96.80        48.40      1        96.80        48.40
13      1       105.60       52.80      1        105.60       52.80
14      1       114.50       57.25      1        114.50       57.25
15      1       123.40       61.70      1        123.40       61.70
16      1       132.30       66.15      1        132.30       66.15
17      1       141.10       70.55      1        141.10       70.55
18      1       150.10       75.05      1        149.90       74.95
19      1       158.90       79.45      1        158.70       79.35
20      1       167.70       83.85      1        167.50       83.75
21      1       176.50       88.25      1        176.30       88.15
22      1       185.20       92.60      1        185.10       92.55
23      1       194.10       97.05      1        193.90       96.95
24      1       202.90       101.45     1        202.70       101.35
25      1       211.70       105.85     1        211.50       105.75
26      1       220.50       110.25     1        220.30       110.15
27      1       229.30       114.65     1        229.10       114.55
28      1       239.90       119.95     1        239.70       119.85
29      1       248.90       124.45     1        248.70       124.35
30      1       257.90       128.95     1        257.50       128.75
31      1       266.60       133.30     1        266.20       133.10
32      1       275.40       137.70     1        275.00       137.50
33      1       284.00       142.00     1        283.60       141.80
34      1       293.00       146.50     1        292.60       146.30
35      1       302.00       151.00     1        301.60       150.80
36      1       310.60       155.30     1        310.20       155.10
37      1       319.20       159.60     1        318.80       159.40
38      1       328.30       164.15     1        327.90       163.95
39      1       337.10       168.55     1        336.60       168.30
40      1       346.00       173.00     1        345.40       172.70
41      1       354.80       177.40     1        354.20       177.10
42      1       363.70       181.85     1        363.10       181.55
43      1       372.50       186.25     1        371.90       185.95
44      1       381.20       190.60     1        380.50       190.25
45      1       389.90       194.95     1        389.20       194.60
46      1       398.70       199.35     1        398.00       199.00
47      1       407.50       203.75     1        406.80       203.40
48      1       416.20       208.10     1        415.50       207.75
49      1       424.90       212.45     1        424.20       212.10
50      1       433.60       216.80     1        433.10       216.55
51      1       442.30       221.15     1        442.00       221.00
52      1       451.00       225.50     1        450.90       225.45
53      1       460.00       230.00     1        459.80       229.90
54      1       469.20       234.60     1        468.90       234.45
55      1       489.00       244.50     1        488.00       244.00
56      1       498.70       249.35     1        496.70       248.35
57      1       507.60       253.80     1        505.40       252.70
58      1       516.60       258.30     1        514.40       257.20
59      1       525.40       262.70     1        523.20       261.60
60      1       534.50       267.25     1        532.30       266.15
61      1       543.20       271.60     1        541.00       270.50
62      1       552.00       276.00     1        549.80       274.90
63      1       560.80       280.40     1        558.60       279.30
64      1       569.70       284.85     1        567.50       283.75
65      1       578.60       289.30     1        576.50       288.25
66      1       587.50       293.75     1        585.50       292.75
67      1       596.40       298.20     1        594.50       297.25
68      1       605.30       302.65     1        603.50       301.75
69      1       614.20       307.10     1        612.50       306.25
70      1       623.20       311.60     1        621.40       310.70
71      1       632.00       316.00     1        630.30       315.15
72      1       641.00       320.50     1        639.20       319.60
73      1       649.90       324.95     1        648.10       324.05
74      1       658.80       329.40     1        656.70       328.35
75      1       667.70       333.85     1        665.60       332.80
76      1       676.60       338.30     1        674.30       337.15
77      1       685.50       342.75     1        683.20       341.60
78      1       694.40       347.20     1        692.10       346.05
79      1       703.20       351.60     1        700.90       350.45
80      1       712.20       356.10     1        709.90       354.95
81      1       721.10       360.55     1        718.80       359.40
82      1       731.90       365.95     1        729.60       364.80
83      1       740.80       370.40     1        738.50       369.25
84      1       749.70       374.85     1        747.40       373.70
85      1       758.70       379.35     1        756.40       378.20
86      1       767.70       383.85     1        765.40       382.70
87      1       776.70       388.35     1        774.40       387.20
88      1       785.50       392.75     1        783.20       391.60
89      1       794.20       397.10     1        791.90       395.95
90      1       803.20       401.60     1        800.90       400.45
91      1       812.10       406.05     1        809.80       404.90
92      1       821.00       410.50     1        818.70       409.35
93      1       829.80       414.90     1        827.50       413.75
94      1       838.70       419.35     1        836.40       418.20
95      1       847.60       423.80     1        845.30       422.65
96      1       856.50       428.25     1        854.20       427.10
97      1       865.40       432.70     1        863.10       431.55
98      1       874.30       437.15     1        872.30       436.15
