Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
1       1       0.00         0.00       1        0.00         0.00
2       1       21.80        10.90      1        21.80        10.90
3       1       43.60        21.80      1        43.60        21.80
4       1       65.20        32.60      1        65.40        32.70
5       1       86.80        43.40      1        86.80        43.40
6       1       108.00       54.00      1        108.20       54.10
7       1       129.40       64.70      1        129.60       64.80
8       1       150.80       75.40      1        151.00       75.50
9       1       172.20       86.10      1        172.40       86.20
10      1       193.00       96.50      1        193.80       96.90
11      1       214.20       107.10     1        215.20       107.60
12      1       235.40       117.70     1        236.60       118.30
13      1       256.80       128.40     1        257.80       128.90
14      1       278.20       139.10     1        279.00       139.50
15      1       299.60       149.80     1        300.20       150.10
16      1       321.00       160.50     1        321.40       160.70
17      1       342.80       171.40     1        342.80       171.40
18      1       364.60       182.30     1        364.60       182.30
19      1       391.60       195.80     1        391.40       195.70
20      1       414.00       207.00     1        413.20       206.60
21      1       436.40       218.20     1        435.00       217.50
22      1       458.00       229.00     1        456.80       228.40
23      1       479.60       239.80     1        478.60       239.30
24      1       501.20       250.60     1        500.40       250.20
25      1       522.80       261.40     1        521.60       260.80
26      1       544.40       272.20     1        543.00       271.50
27      1       566.00       283.00     1        564.40       282.20
28      1       587.40       293.70     1        585.80       292.90
29      1       608.60       304.30     1        607.20       303.60
30      1       629.80       314.90     1        628.60       314.30
31      1       651.40       325.70     1        650.00       325.00
32      1       673.00       336.50     1        671.80       335.90
33      1       694.40       347.20     1        693.60       346.80
34      1       716.20       358.10     1        715.40       357.70
35      1       738.20       369.10     1        737.20       368.60
36      1       760.20       380.10     1        759.00       379.50
37      1       782.40       391.20     1        786.40       393.20
38      1       804.60       402.30     1        808.00       404.00
39      1       826.60       413.30     1        830.00       415.00
40      1       848.60       424.30     1        852.00       426.00
41      1       870.40       435.20     1        874.00       437.00
42      1       892.20       446.10     1        896.00       448.00
43      1       913.80       456.90     1        918.00       459.00
44      1       935.40       467.70     1        940.00       470.00
45      1       957.00       478.50     1        962.00       481.00
46      1       978.60       489.30     1        983.40       491.70
47      1       1000.28      500.14     1        1004.80      502.40
48      1       1021.96      510.98     1        1026.20      513.10
49      1       1043.56      521.78     1        1047.60      523.80
50      1       1065.16      532.58     1        1069.00      534.50
51      1       1086.76      543.38     1        1090.80      545.40
52      1       1108.36      554.18     1        1113.00      556.50
53      1       1130.36      565.18     1        1135.00      567.50
54      1       1152.36      576.18     1        1157.00      578.50
55      1       1184.16      592.08     1        1181.60      590.80
56      1       1205.96      602.98     1        1203.60      601.80
57      1       1227.76      613.88     1        1225.60      612.80
58      1       1249.56      624.78     1        1247.60      623.80
59      1       1271.36      635.68     1        1269.60      634.80
60      1       1293.16      646.58     1        1291.60      645.80
61      1       1314.96      657.48     1        1313.60      656.80
62      1       1336.76      668.38     1        1335.60      667.80
63      1       1358.56      679.28     1        1357.20      678.60
64      1       1380.36      690.18     1        1378.80      689.40
65      1       1402.16      701.08     1        1400.40      700.20
66      1       1423.96      711.98     1        1422.00      711.00
67      1       1445.56      722.78     1        1443.60      721.80
68      1       1467.36      733.68     1        1465.20      732.60
69      1       1489.16      744.58     1        1486.80      743.40
70      1       1510.96      755.48     1        1509.00      754.50
71      1       1532.76      766.38     1        1531.00      765.50
72      1       1554.56      777.28     1        1553.00      776.50
73      1       1580.56      790.28     1        1579.80      789.90
74      1       1602.76      801.38     1        1601.60      800.80
75      1       1624.96      812.48     1        1623.40      811.70
76      1       1647.16      823.58     1        1645.20      822.60
77      1       1669.36      834.68     1        1667.00      833.50
78      1       1690.96      845.48     1        1688.80      844.40
79      1       1712.56      856.28     1        1710.60      855.30
80      1       1734.16      867.08     1        1732.40      866.20
81      1       1755.76      877.88     1        1754.20      877.10
82      1       1777.36      888.68     1        1776.00      888.00
83      1       1798.96      899.48     1        1797.80      898.90
84      1       1820.56      910.28     1        1819.60      909.80
85      1       1842.16      921.08     1        1841.40      920.70
86      1       1863.96      931.98     1        1863.20      931.60
87      1       1885.76      942.88     1        1885.00      942.50
88      1       1907.56      953.78     1        1906.80      953.40
89      1       1929.36      964.68     1        1928.60      964.30
90      1       1951.16      975.58     1        1950.40      975.20
91      1       1978.76      989.38     1        1979.20      989.60
92      1       2000.96      1000.48    1        2001.60      1000.80
93      1       2023.16      1011.58    1        2023.60      1011.80
94      1       2045.36      1022.68    1        2045.60      1022.80
