Fiber  Good B  B Offset     B Offset   Good R   R Offset     R Offset
       Fiber?  from fib     from fib   Fiber?   from fib     from fib
               1 bin=1      2 bin=2             1 bin=1      1 bin=2
                                                
1       1       0.00         0.00        1       0.00         0.00
2       1       14.20        7.10        1       14.20        7.10
3       1       27.60        13.80       1       27.60        13.80
4       1       41.80        20.90       1       41.80        20.90
5       1       55.20        27.60       1       55.20        27.60
6       1       68.60        34.30       1       68.60        34.30
7       1       82.00        41.00       1       82.00        41.00
8       1       96.00        48.00       1       96.00        48.00
9       1       109.80       54.90       1       109.80       54.90
10      1       123.60       61.80       1       123.60       61.80
11      1       137.20       68.60       1       137.20       68.60
12      1       150.80       75.40       1       150.80       75.40
13      1       164.40       82.20       1       164.40       82.20
14      1       178.00       89.00       1       178.00       89.00
15      1       191.60       95.80       1       191.60       95.80
16      1       205.20       102.60      1       205.20       102.60
17      1       218.80       109.40      1       218.80       109.40
18      1       232.60       116.30      1       232.60       116.30
19      1       246.40       123.20      1       246.40       123.20
20      1       260.20       130.10      1       260.20       130.10
21      1       274.00       137.00      1       274.00       137.00
22      1       287.80       143.90      1       287.60       143.80
23      0       301.40       150.70      1       301.00       150.50
24      1       317.40       158.70      1       317.40       158.70
25      1       331.60       165.80      1       331.40       165.70
26      1       345.60       172.80      1       345.20       172.60
27      1       359.40       179.70      1       359.00       179.50
28      1       373.20       186.60      1       372.60       186.30
29      1       387.00       193.50      1       386.40       193.20
30      1       400.80       200.40      1       400.20       200.10
31      1       414.20       207.10      1       414.00       207.00
32      1       428.00       214.00      1       427.80       213.90
33      1       441.80       220.90      1       441.60       220.80
34      1       455.60       227.80      1       455.40       227.70
35      1       469.40       234.70      1       469.20       234.60
36      1       483.20       241.60      1       483.00       241.50
37      1       497.00       248.50      1       496.80       248.40
38      1       510.80       255.40      1       510.60       255.30
39      1       524.60       262.30      1       524.40       262.20
40      1       538.40       269.20      1       538.20       269.10
41      1       552.20       276.10      1       552.00       276.00
42      1       566.00       283.00      1       565.80       282.90
43      1       579.80       289.90      1       579.60       289.80
44      1       593.40       296.70      1       593.20       296.60
45      1       607.00       303.50      1       606.80       303.40
46      1       620.80       310.40      1       620.60       310.30
47      1       652.20       326.10      1       653.60       326.80
48      1       666.40       333.20      1       667.40       333.70
49      1       680.60       340.30      1       681.40       340.70
50      1       694.40       347.20      1       695.40       347.70
51      1       708.20       354.10      1       709.40       354.70
52      1       722.00       361.00      1       723.40       361.70
53      1       735.80       367.90      1       737.40       368.70
54      1       749.60       374.80      1       751.20       375.60
55      1       763.40       381.70      1       765.00       382.50
56      1       777.20       388.60      1       778.80       389.40
57      1       791.00       395.50      1       792.60       396.30
58      1       804.80       402.40      1       806.40       403.20
59      1       818.60       409.30      1       820.20       410.10
60      1       832.40       416.20      1       834.00       417.00
61      1       846.20       423.10      1       847.80       423.90
62      1       860.00       430.00      1       861.60       430.80
63      1       873.80       436.90      1       875.40       437.70
64      1       887.60       443.80      1       889.20       444.60
65      1       901.40       450.70      1       903.20       451.60
66      1       915.40       457.70      1       917.20       458.60
67      1       929.20       464.60      1       931.00       465.50
68      1       943.20       471.60      1       945.00       472.50
69      1       957.20       478.60      1       959.00       479.50
70      1       974.00       487.00      1       975.80       487.90
71      1       987.80       493.90      1       989.60       494.80
72      1       1001.60      500.80      1       1003.40      501.70
73      1       1015.60      507.80      1       1017.40      508.70
74      1       1029.60      514.80      1       1031.40      515.70
75      1       1043.60      521.80      1       1045.40      522.70
76      1       1057.60      528.80      1       1059.40      529.70
77      1       1071.60      535.80      1       1073.00      536.50
78      1       1085.40      542.70      1       1086.80      543.40
79      1       1099.20      549.60      1       1100.60      550.30
80      1       1113.00      556.50      1       1114.40      557.20
81      1       1126.80      563.40      1       1128.20      564.10
82      1       1140.80      570.40      1       1142.20      571.10
83      1       1154.80      577.40      1       1156.20      578.10
84      1       1168.80      584.40      1       1170.20      585.10
85      1       1182.60      591.30      1       1184.00      592.00
86      1       1196.60      598.30      1       1198.00      599.00
87      1       1210.60      605.30      1       1212.00      606.00
88      1       1224.60      612.30      1       1226.00      613.00
89      1       1238.40      619.20      1       1239.80      619.90
90      1       1252.40      626.20      1       1253.80      626.90
91      1       1266.40      633.20      1       1267.80      633.90
92      1       1280.40      640.20      1       1281.80      640.90
93      1       1313.00      656.50      1       1315.40      657.70
94      1       1328.00      664.00      1       1329.60      664.80
95      1       1342.00      671.00      1       1343.60      671.80
96      1       1356.00      678.00      1       1357.60      678.80
